Tipo de residuo;Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;;2013;532.122
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;;2012;403.637
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;;2011;481.780
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;;2010;586.598
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;01 Andalucía;2021;70.299
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;01 Andalucía;2020;54.894
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;01 Andalucía;2019;186.042
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;01 Andalucía;2018;153.300
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;01 Andalucía;2017;380.959
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;01 Andalucía;2016;361.986
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;01 Andalucía;2015;255.581
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;01 Andalucía;2014;252.293
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;01 Andalucía;2013;181.998
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;01 Andalucía;2012;99.589
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;01 Andalucía;2011;152.281
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;01 Andalucía;2010;155.836
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;02 Aragón;2021;7.613
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;02 Aragón;2020;6.954
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;02 Aragón;2019;26.284
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;02 Aragón;2018;24.205
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;02 Aragón;2017;3.391
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;02 Aragón;2016;3.907
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;02 Aragón;2015;8.087
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;02 Aragón;2014;8.027
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;02 Aragón;2013;10.902
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;02 Aragón;2012;4.391
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;02 Aragón;2011;4.693
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;02 Aragón;2010;14.003
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;03 Principado de Asturias;2021;0
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;03 Principado de Asturias;2020;0
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;03 Principado de Asturias;2019;15.158
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;03 Principado de Asturias;2018;15.404
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;03 Principado de Asturias;2017;8.016
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;03 Principado de Asturias;2016;2.222
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;03 Principado de Asturias;2015;15.971
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;03 Principado de Asturias;2014;15.728
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;03 Principado de Asturias;2013;9.605
